genre,age_group,popularity,producer
Adventure,36+,5127,Manga
Action,36+,5952,Manga
Action,36+,4936,Manga
Action,36+,4443,Manga
Action,36+,4543,Manga
Action,36+,3454,Novel
Adventure,36+,1442,Game
Action,36+,2031,Light novel
Slice of Life,36+,1504,4-koma manga
Slice of Life,36+,2496,Original
Drama,36+,1914,Novel
Comedy,36+,4995,Light novel
Action,36+,2673,Manga
Adventure,36+,4956,Original
Slice of Life,36+,3119,Manga
Action,36+,3660,Other
Comedy,36+,3310,4-koma manga
Slice of Life,36+,2660,4-koma manga
Sci-Fi,36+,2495,Manga
Slice of Life,36+,2533,4-koma manga
Adventure,36+,3057,Light novel
Action,26-35,35,Manga
Action,26-35,18,Manga
Action,26-35,10,Manga
Action,26-35,70,Manga
Action,26-35,1730,Manga
Sci-Fi,26-35,1516,Manga
Action,36+,35,Manga
Sci-Fi,36+,188,Manga
Slice of Life,36+,623,Manga
Action,36+,141,Manga
Action,36+,18,Manga
Comedy,36+,69,Manga
Adventure,36+,1313,Light novel
Action,36+,1793,Light novel
Comedy,36+,527,Novel
Music,36+,381,Manga
Action,36+,20,Manga
Adventure,36+,2233,Light novel
Comedy,36+,366,Manga
Action,36+,332,Light novel
Comedy,36+,488,Manga
Slice of Life,36+,111,Manga
Slice of Life,36+,322,Manga
Action,36+,103,Light novel
Action,36+,38,Original
Comedy,36+,500,Manga
Drama,36+,152,Manga
Action,36+,10,Manga
Comedy,36+,347,Manga
Action,36+,48,Original
